규격정제,No,접수일자,접수번호,상태,상호,담당자,사용자,제품명,모델ㆍ규격,수입국,연간수입예정량,HSK No,구분,사용여부,대리인,저장일자,소속,등록(등록),등록(면제),기존(등록),기존(면제),신규(등록),신규(면제),유독물질,허가물질,제한물질,금지물질,사고대비물질,유독물질,허가물질,제한물질,금지물질,사고대비물질
,119,2013-04-15,41304150273,승인,영인과학(주),이종국,,Boron Reagent,,United States,100,2833.40-9000,DESK,,,2013-04-15,,,,,,,,,,,,,,,,,
,120,2007-02-28,40702280447,승인,영인과학(주),최석환,,Calibration Standard Set,,United States,0.3,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,121,2007-02-28,40702280447,승인,영인과학(주),최석환,,System Suitability Standard Set-400,,United States,0.27,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,122,2007-02-28,40702280447,승인,영인과학(주),최석환,,900 Autoreagents Cal and Ver Set,,United States,2.56,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,123,2007-02-28,40702280447,승인,영인과학(주),최석환,,"900 1mg/L Cal, 500 ug/L Ver",,United States,2.16,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,124,2007-02-28,40702280447,승인,영인과학(주),최석환,,900 validation set with calibration and verification,,United States,2.88,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,125,2007-02-28,40702280447,승인,영인과학(주),최석환,,"900 Sgl Pt Cal & Ver Set, 1 mg/L",,United States,0.36,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,126,2007-02-28,40702280447,승인,영인과학(주),최석환,,Validation Set for 500RL Std IOS,,United States,3.36,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,127,2007-02-28,40702280447,승인,영인과학(주),최석환,,"800 System Suitability Set, AS",,United States,0.12,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,O
,128,2007-02-28,40702280447,승인,영인과학(주),최석환,,400 System Suitability Set,,United States,0.27,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,
,129,2007-02-28,40702280447,승인,영인과학(주),최석환,,"800 Cal Standards Set, Grab Mode",,United States,1.92,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,
,130,2007-02-28,40702280447,승인,영인과학(주),최석환,,400 Standard Solution-Rs,,United States,0.06,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,131,2007-02-28,40702280447,승인,영인과학(주),최석환,,Oxidizer for 8xx,,United States,1.8,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,O
,132,2007-02-28,40702280447,승인,영인과학(주),최석환,,Acid Reagent 900 Catridge,,United States,1.2,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,
,133,2007-02-28,40702280447,승인,영인과학(주),최석환,,900 Oxid Reagent Catridge Low Cap,,United States,0.3,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,O
,134,2007-02-28,40702280447,승인,영인과학(주),최석환,,Sample box: Calibration light Samples : SIMDIS High Temperature,,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,135,2007-02-28,40702280447,승인,영인과학(주),최석환,,Sample box: Calibration Heavy Samples : SIMDIS High Temperature,,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,136,2007-02-28,40702280447,승인,영인과학(주),최석환,,Sample box: Simdis 750 Ref.(5) Samples: SIMDIS High Temperature,,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,137,2007-02-28,40702280447,승인,영인과학(주),최석환,,"Sample, Quality Control for Reformulyzer M3: Gasolin A (5 pcs)",,Netherlands,0.03,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,138,2007-02-28,40702280447,승인,영인과학(주),최석환,,Sample box: D2887 Ext. Calib.,,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,139,2007-02-28,40702280447,승인,영인과학(주),최석환,,std for fto(041 5ea/pk),,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,140,2007-02-28,40702280447,승인,영인과학(주),최석환,,IP391 reference oil Samples: MDA,,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,141,2007-02-28,40702280447,승인,영인과학(주),최석환,,"SILICA STANDARD 200 PPB,",,United States,10,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,142,2007-02-28,40702280447,승인,영인과학(주),최석환,,SILICA REAGENT KIT,,United States,26.4,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,143,2007-02-28,40702280447,승인,영인과학(주),최석환,,SODIUM STANDARDS KIT,,United States,0.45,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,144,2007-02-28,40702280447,승인,영인과학(주),최석환,,APCI/APPI Calibrant Solution (100mL),,United States,0.1,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,145,2007-02-28,40702280447,승인,영인과학(주),최석환,,Electrospray Calibrant Solution(100 mls),,United States,0.2,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,146,2007-02-28,40702280447,승인,영인과학(주),최석환,,"ESI+APCI LC Demo Sample, 5 ampoules 1mL",,United States,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,
,147,2007-02-28,40702280447,승인,영인과학(주),최석환,,Mercury Calibration Standard,,United States,0.1,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,148,2007-02-28,40702280447,승인,영인과학(주),최석환,,Methyl Alcohol (1L Bottle),,United States,1,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,149,2007-02-28,40702280447,승인,영인과학(주),최석환,,Tuning Solution for ICP-MS 7500cs,,United States,1,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,O,,,,
,150,2007-02-28,40702280447,승인,영인과학(주),최석환,,ICP-MS Checkout Solutions for 7500a/i/c,,United States,5.1,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,151,2007-02-28,40702280447,승인,영인과학(주),최석환,,ENVIRONMENTAL CALIBRATION STANDARD,,United States,0.2,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,152,2007-02-28,40702280447,승인,영인과학(주),최석환,,"400 Set, Validation Std, 1.11CUE+",,United States,0.36,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,153,2007-02-28,40702280447,승인,영인과학(주),최석환,,"900 Oxidizer Cartidge, Low Cap",,United States,1.05,3822.00-2020,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,154,2007-02-28,40702280447,승인,영인과학(주),최석환,,"sample,reference oil,D2887 extended(5pcs)",,Netherlands,0.01,3822.00-3017,DESK,Y,,2007-02-28,,,,,,,,,,,,,,,,,
,155,2006-04-04,40604040137,승인,영인과학(주),최석환,,"ISOCRATIC STANDARD, 0.5ML AMPOULE",,United States,0.06,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,156,2006-04-04,40604040137,승인,영인과학(주),최석환,,FLUOROETHER E-3(PFDTD UOM EA=5 G),,United States,0.2,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,O,,,,
,157,2006-04-04,40604040137,승인,영인과학(주),최석환,,6020 INTERFERENCE CHECK SOLUTION B,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,158,2006-04-04,40604040137,승인,영인과학(주),최석환,,GOLD TUNING SOLUTION,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,159,2006-04-04,40604040137,승인,영인과학(주),최석환,,6020 INTERFERENCE CHECK SOLUTION A,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,160,2006-04-04,40604040137,승인,영인과학(주),최석환,,MULTI-ELEMENT CALIBRATION STANDARD-3,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,161,2006-04-04,40604040137,승인,영인과학(주),최석환,,MULTI-ELEMENT CALIBRATION STANDARD-1,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,162,2006-04-04,40604040137,승인,영인과학(주),최석환,,MULTI-ELEMENT CALIBRATION STANDARD-4,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,163,2006-04-04,40604040137,승인,영인과학(주),최석환,,MULTI-ELEMENT CALIBRATION STANDARD 2A,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,164,2006-04-04,40604040137,승인,영인과학(주),최석환,,CAFFEINE STANDARDS KIT FOR LC MS,,United States,0.2,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,165,2006-04-04,40604040137,승인,영인과학(주),최석환,,PFHT-HIGH MASS CHECKOUT SAMPLE,,United States,0.01,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,166,2006-04-04,40604040137,승인,영인과학(주),최석환,,TUNING SOLUTION,,United States,4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,167,2006-04-04,40604040137,승인,영인과학(주),최석환,,SAMPLE KIT,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,168,2006-04-04,40604040137,승인,영인과학(주),최석환,,ENVIRONMENTAL CALIBRATION STANDARD,,United States,0.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,169,2006-04-04,40604040137,승인,영인과학(주),최석환,,NPD SAMPLER,,United States,0.07,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,170,2006-04-04,40604040137,승인,영인과학(주),최석환,,ISOCRATIC AND GRADIENT TEST SAMPLE,,United States,0.06,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,171,2006-04-04,40604040137,승인,영인과학(주),최석환,,SYSTEM SUITABILITY STANDARD SET-800AS,,United States,0.5,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,172,2006-04-04,40604040137,승인,영인과학(주),최석환,,SYSTEM SUITABILITY STANDARD SET-800,,United States,1.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,173,2006-04-04,40604040137,승인,영인과학(주),최석환,,CALIBRATION SET FOR AUTOSAMPLER MODE,,United States,11.5,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,174,2006-04-04,40604040137,승인,영인과학(주),최석환,,CALIBRATION SET FOR GRAB MODE,,United States,3.8,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,175,2006-04-04,40604040137,승인,영인과학(주),최석환,,"900 SINGLE POINT CAL SET, 1MG/L",,United States,1.4,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,176,2006-04-04,40604040137,승인,영인과학(주),최석환,,400 CALIBRATION STANDARDS SET,,United States,0.7,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,177,2006-04-04,40604040137,승인,영인과학(주),최석환,,900 RESIN BED,,United States,2.4,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,178,2006-04-04,40604040137,승인,영인과학(주),최석환,,"900 ACID CARTRIDGE, HI CAP",,United States,12,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,179,2006-04-04,40604040137,승인,영인과학(주),최석환,,"900 OXIDIZER CARTRIDGE, HI CAP",,United States,9,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,180,2006-04-04,40604040137,승인,영인과학(주),최석환,,"REAGENT REFILL, BORON",,United States,16,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,181,2006-04-04,40604040137,승인,영인과학(주),최석환,,PERSULFATE RESERVOIR,,United States,10.8,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,182,2006-04-04,40604040137,승인,영인과학(주),최석환,,ACID RESERVOIR,,United States,26.4,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
,183,2006-04-04,40604040137,승인,영인과학(주),최석환,,LOW LEVEL REAGENT,,United States,12,3822.00-2020,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,184,2006-04-04,40604040137,승인,영인과학(주),최석환,,ECD SAMPLER,,United States,0.03,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,185,2006-04-04,40604040137,승인,영인과학(주),최석환,,FID PERFORMANCE EVALUATION SAMPLE KIT,,United States,0.61,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,186,2006-04-04,40604040137,승인,영인과학(주),최석환,,PFTBA SAMPLE KIT,,United States,0.01,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
SAMPLE,187,2006-04-04,40604040137,승인,영인과학(주),최석환,,MSD SAMPLER,,United States,0.24,3822.00-3017,DESK,Y,,2006-04-04,,,,,,,,,,,,,,,,,
MXA22202,,,,,영인과학(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,188,2017-07-24,41707240187,승인,영인에스트주식회사,최환희,이영광,Keyacid Rhodamine WT Liquid,25ml Bottle of 20% WT Rhodamine Dye Stock Solution,United Kingdom,0.25,8543.70-9090,WEB,Y,,2017-07-24,,,,,,,,,,,,,,,,,
,189,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,Hydra C Catalyst,,United States,25,3815.19-9000,DESK,,,2016-12-06,,,,O,,,,,,,,O,,,,,
,190,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,1% Hydrochloric Acid Solution,,United States,60,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,,,,,
,191,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,2% Hydrochloric Acid Solution,,United States,40,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,,,,,
,192,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,2% Stannous Chloride in 10% HCl,,United States,10,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,,,,,
,193,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,1㎍/mL Hg in 2% HCl,,United States,3,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,,,,,
,194,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,100㎍/mL Hg in 5% HNO3,,United States,3,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,,,,,
,195,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,10% Stannous Chloride in 10 % HCl,,United States,25,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,O,,,,
,196,2016-12-06,41612060192,승인,영인에스트주식회사,고승환,,1% Nitric Acid Blank,,United States,10,3822.00-3048,DESK,,,2016-12-06,,,,O,,,,O,,,,O,,,,,
STD7440650,197,2016-09-07,41609070400,승인,영인에스트주식회사,최환희,이영광,"STD 74406 500/860 Linearity Set(WATER (REAGENT WATER, Rw))",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90026,198,2016-09-07,41609070420,승인,영인에스트주식회사,최환희,이영광,"STD 90026 M9/900 1mg/L Cal, 500 æg/L Ver Kit(Sucrose Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90026,199,2016-09-07,41609070419,승인,영인에스트주식회사,최환희,이영광,"STD 90026 M9/900 1mg/L Cal, 500 æg/L Ver Kit(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90026,200,2016-09-07,41609070418,승인,영인에스트주식회사,최환희,이영광,"STD 90026 M9/900 1mg/L Cal, 500 æg/L Ver Kit(Potassium Hydrogen Phthalate Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90019-01,201,2016-09-07,41609070417,승인,영인에스트주식회사,최환희,이영광,"STD 90019-01 M-Series Cal & Ver Kit, 25 mg/L(Sucrose Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90019-01,202,2016-09-07,41609070416,승인,영인에스트주식회사,최환희,이영광,"STD 90019-01 M-Series Cal & Ver Kit, 25 mg/L(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,O,,,,
STD90019-01,203,2016-09-07,41609070415,승인,영인에스트주식회사,최환희,이영광,"STD 90019-01 M-Series Cal & Ver Kit, 25 mg/L(Potassium Hydrogen Phthalate Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,O,,,,
STD90016-01,204,2016-09-07,41609070414,승인,영인에스트주식회사,최환희,이영광,"STD 90016-01 M-Series Cal & Ver Kit, 1 mg/L(Sucrose Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90016-01,205,2016-09-07,41609070413,승인,영인에스트주식회사,최환희,이영광,"STD 90016-01 M-Series Cal & Ver Kit, 1 mg/L(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90016-01,206,2016-09-07,41609070412,승인,영인에스트주식회사,최환희,이영광,"STD 90016-01 M-Series Cal & Ver Kit, 1 mg/L(Potassium Hydrogen Phthalate Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90014-01,207,2016-09-07,41609070411,승인,영인에스트주식회사,최환희,이영광,"STD 90014-01 900 Turbo Calibration Set, 4 mg/L(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,O,,,,
STD90014-01,208,2016-09-07,41609070410,승인,영인에스트주식회사,최환희,이영광,"STD 90014-01 900 Turbo Calibration Set, 4 mg/L(Potassium Hydrogen Phthalate Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90007-01,209,2016-09-07,41609070409,승인,영인에스트주식회사,최환희,이영광,"STD 90007-01 M9 Verification Set, 500 μg/L(WATER (REAGENT WATER, Rw))",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90007-01,210,2016-09-07,41609070408,승인,영인에스트주식회사,최환희,이영광,"STD 90007-01 M9 Verification Set, 500 μg/L(Sucrose Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,O,,,,
STD90007-01,211,2016-09-07,41609070407,승인,영인에스트주식회사,최환희,이영광,"STD 90007-01 M9 Verification Set, 500 μg/L(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90003-01,212,2016-09-07,41609070406,승인,영인에스트주식회사,최환희,이영광,"STD 90003-01 M-Series Single Pt Cal, 10 mg/L(WATER (REAGENT WATER, Rw))",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90003-01,213,2016-09-07,41609070405,승인,영인에스트주식회사,최환희,이영광,"STD 90003-01 M-Series Single Pt Cal, 10 mg/L(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90003-01,214,2016-09-07,41609070404,승인,영인에스트주식회사,최환희,이영광,"STD 90003-01 M-Series Single Pt Cal, 10 mg/L(Potassium Hydrogen Phthalate Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90002-01,215,2016-09-07,41609070403,승인,영인에스트주식회사,최환희,이영광,"STD 90002-01 M-Series Single Pt Cal, 5 mg/L(WATER (REAGENT WATER, Rw))",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90002-01,216,2016-09-07,41609070402,승인,영인에스트주식회사,최환희,이영광,"STD 90002-01 M-Series Single Pt Cal, 5 mg/L(Sodium Carbonate Solution)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD90002-01,217,2016-09-07,41609070401,승인,영인에스트주식회사,최환희,이영광,"STD 90002-01 M-Series Single Pt Cal, 5 mg/L(Potassium Hydrogen Phthalate Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD31013-01,218,2016-09-07,41609070399,승인,영인에스트주식회사,최환희,이영광,"STD 31013-01 Accuracy/Precision Set, 500 ppb(Sucrose Solutions)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD31012-01,219,2016-09-07,41609070398,승인,영인에스트주식회사,최환희,이영광,"STD 31012-01 M9 / 900 Linearity Standard Set(WATER (REAGENT WATER, Rw)",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
STD31005-02,220,2016-09-07,41609070393,승인,영인에스트주식회사,최환희,이영광,"STD 31005-02 400 TOC Calibration Standards Set(WATER (REAGENT WATER, Rw))",,United States,70,3822.00-3048,WEB,Y,,2016-09-07,,,,,,,,,,,,,,,,,
,221,2016-08-26,41608260307,승인,영인에스트주식회사,최환희,이영광,"500/860 Single Pt Cal SetA TOC Only(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD74405,222,2016-08-26,41608260309,승인,영인에스트주식회사,최환희,이영광,STD 74405 500/860 Single Pt Cal SetA TOC Only(Potassium Hydrogen Phthalate Solutions),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD77026-01,223,2016-08-26,41608260312,승인,영인에스트주식회사,최환희,이영광,STD 77026-01 M9 Conductivity Calibration Std(Potassium chloride Solution),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD74429-01,224,2016-08-26,41608260306,승인,영인에스트주식회사,최환희,이영광,"STD 74429-01 500 Standard SDBS Suitability(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD74429-01,225,2016-08-26,41608260310,승인,영인에스트주식회사,최환희,이영광,STD 74429-01 500 Standard SDBS Suitability(SDBS SOLUTIONS),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
211191,226,2016-08-26,41608260341,승인,영인에스트주식회사,최환희,이영광,"211191 IDIPA REAGENT, 6 X 0.8L WITH TUBING(Diisopropylamine)",,United States,150,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
211190,227,2016-08-26,41608260340,승인,영인에스트주식회사,최환희,이영광,"211190 IDIPA REAGENT,1 X 0.8L WITH TUBING(Diisopropylamine)",,United States,50,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STDS2X60ML,228,2016-08-26,41608260339,승인,영인에스트주식회사,최환희,이영광,"181140 SODIUM 19.1&192 PPM STDS,2X60ML EACH(Standard 1 & 2 for Sodium)",,United States,5,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
,229,2016-08-26,41608260337,승인,영인에스트주식회사,최환희,이영광,"150072 210058,100058 REF ELECTFILL SOL,5X60ML",,United States,5,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD74406,230,2016-08-26,41608260308,승인,영인에스트주식회사,최환희,이영광,STD 74406 500/860 Linearity Set(Potassium Hydrogen Phthalate - Acidified),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD77000-01,231,2016-08-26,41608260335,승인,영인에스트주식회사,최환희,이영광,"STD 77000-01 M-Series Multipoint Cal Set(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90026,232,2016-08-26,41608260323,승인,영인에스트주식회사,최환희,이영광,"STD 90026 M9/900 1mg/L Cal, 500 æg/L Ver Kit(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90019-01,233,2016-08-26,41608260322,승인,영인에스트주식회사,최환희,이영광,"STD 90019-01 M-Series Cal & Ver Kit, 25 mg/L(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90000-01,234,2016-08-26,41608260320,승인,영인에스트주식회사,최환희,이영광,STD 90000-01 900 Multipoint Cal Standards Set(Sodium Carbonate Solution),,United States,75,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90000-01,235,2016-08-26,41608260319,승인,영인에스트주식회사,최환희,이영광,"STD 90000-01 900 Multipoint Cal Standards Set(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90001-01,236,2016-08-26,41608260316,승인,영인에스트주식회사,최환희,이영광,"STD 90001-01 M-Series Single Pt Cal, 1 mg C/L(Sodium Carbonate Solution)",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90001-01,237,2016-08-26,41608260315,승인,영인에스트주식회사,최환희,이영광,"STD 90001-01 M-Series Single Pt Cal, 1 mg C/L(WATER (REAGENT WATER, Rw))",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90001-01,238,2016-08-26,41608260314,승인,영인에스트주식회사,최환희,이영광,"STD 90001-01 M-Series Single Pt Cal, 1 mg C/L(Potassium Hydrogen Phthalate Solutions)",,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD90000-01,239,2016-08-26,41608260313,승인,영인에스트주식회사,최환희,이영광,STD 90000-01 900 Multipoint Cal Standards Set(Potassium Hydrogen Phthalate Solutions),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD77000-01,240,2016-08-26,41608260311,승인,영인에스트주식회사,최환희,이영광,STD 77000-01 M-Series Multipoint Cal Set(Potassium Hydrogen Phthalate Solutions),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
STD77000-01,241,2016-08-26,41608260305,승인,영인에스트주식회사,최환희,이영광,STD 77000-01 M-Series Multipoint Cal Set(Sodium Carbonate Solution),,United States,100,3822.00-3048,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
ASM71220-01,242,2016-08-26,41608260338,승인,영인에스트주식회사,최환희,이영광,"ASM 71220-01 Reagent Refill, Boron",,United States,100,2833.40-9000,WEB,Y,,2016-08-26,,,,,,,,,,,,,,,,,
